STUID,GENDER,ETHNICITY,CITY,DISTRICT,FEEDER,PROGRAMSTART,CODE,PROGRAM,DEGREEID,DEGREE,PROGRAMSTATUS,GRADDATE,PROGRAMEND,ENROLLEDSEMESTER
10004,M,Garifuna,DANGRIGA TOWN,STANN CREEK,STANN CREEK ECUMENICAL HIGH SC,8/18/2008,AINT,Information Technology,11,Associate Degree,Transferred,,,2007-3
10013,M,Creole,ROARING CREEK VILLAGE,CAYO,*UNKNOWN,6/16/2008,AINT,Information Technology,11,Associate Degree,Transferred,,,2008-1
10018,M,Creole,BELMOPAN,CAYO,TOLEDO COMMUNITY COLLEGE,8/20/2008,AINT,Information Technology,11,Associate Degree,Dropped,,,2008-2
10034,M,Mestizo,BELMOPAN CITY,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,8/18/2008,AINT,Information Technology,11,Associate Degree,Transferred,,,2008-1
10074,M,Garifuna,DANGRIGA TOWN,STANN CREEK,DELILLE ACADEMY,8/8/2008,AINT,Information Technology,11,Associate Degree,Terminated,,,2009-1
10086,M,Creole,BELIZE CITY,BELIZE,*WESLEY COLLEGE,8/20/2008,AINT,Information Technology,11,Associate Degree,Graduated,1/29/2011,12/20/2010,2008-1
10114,M,Garifuna,DANGRIGA TOWN,STANN CREEK,DELILLE ACADEMY,8/18/2008,AINT,Information Technology,11,Associate Degree,Terminated,,,2010-1
10145,F,Creole,HATTIEVILLE VILLAGE,BELIZE,GWEN LIZARRAGA,8/18/2008,AINT,Information Technology,11,Associate Degree,Dropped,,,2008-1
10156,M,Mestizo,SANTA ELENA TOWN,CAYO,UNIVERSITY OF BELIZE,1/16/2012,AINT,Information Technology,11,Associate Degree,Transferred,,,2011-2
10173,F,Creole,BELIZE CITY,BELIZE,NAZARENE HIGH SCHOOL,8/20/2008,AINT,Information Technology,11,Associate Degree,Transferred,,,2008-1
10182,M,Mayan,BENQUE VIEJO DEL CARMEN,CAYO,MOPAN TECHNICAL HIGH SCHOOL,8/20/2008,AINT,Information Technology,11,Associate Degree,Graduated,6/19/2010,5/25/2010,2008-1
10208,M,Mestizo,ORANGE WALK,ORANGE WALK,ORANGE WALK TECHNICAL,8/20/2008,AINT,Information Technology,11,Associate Degree,Graduated,6/19/2010,5/25/2010,2008-1
10239,M,Mayan,BELMOPAN CITY,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,8/20/2008,AINT,Information Technology,11,Associate Degree,Graduated,6/19/2010,5/25/2010,2008-1
10266,M,Creole,BELIZE CITY,BELIZE,*WESLEY COLLEGE,8/18/2008,AINT,Information Technology,11,Associate Degree,Terminated,,,2008-1
10275,M,Caucasian,SAN IGNACIO,CAYO,FOREIGN,8/18/2008,AINT,Information Technology,11,Associate Degree,Terminated,,,2008-1
10293,M,Creole,BELIZE CITY,BELIZE,BELIZE ADVENTIST COLLEGE,8/18/2008,AINT,Information Technology,11,Associate Degree,Terminated,,,2008-1
10306,M,Creole,BELMOPAN CITY,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,8/20/2008,AINT,Information Technology,11,Associate Degree,Dropped,,,2008-1
10321,M,Mestizo,BENQUE VIEJO DEL CARMEN,CAYO,MOPAN TECHNICAL HIGH SCHOOL,8/20/2008,AINT,Information Technology,11,Associate Degree,Graduated,6/19/2010,5/25/2010,2008-1
10347,M,Creole,DANGRIGA TOWN,STANN CREEK,STANN CREEK ECUMENICAL HIGH SC,8/18/2008,AINT,Information Technology,11,Associate Degree,Terminated,,,2008-1
10375,M,Creole,BELMOPAN CITY,CAYO,OUR LADY OF GUADALUPE HIGH SCH,8/18/2008,AINT,Information Technology,11,Associate Degree,Transferred,,,2008-1
10382,F,Other,BELIZE CITY,BELIZE,GWEN LIZARRAGA,8/20/2008,AINT,Information Technology,11,Associate Degree,Graduated,6/18/2011,5/24/2011,2008-1
10415,M,Mestizo,SAN IGNACIO TOWN,CAYO,UNIVERSITY OF BELIZE,8/1/2019,AINT,Information Technology,11,Associate Degree,In Process,,,2019-1
10427,F,Mestizo,BELMOPAN CITY,CAYO,OUR LADY OF GUADALUPE HIGH SCH,8/18/2008,AINT,Information Technology,11,Associate Degree,Transferred,,,2008-2
10437,M,Mestizo,BELMOPAN CITY,CAYO,SACRED HEART COLLEGE,8/17/2015,AINT,Information Technology,11,Associate Degree,Terminated,,,2016-1
10446,M,Creole,BELMOPAN CITY,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,8/20/2008,AINT,Information Technology,11,Associate Degree,Graduated,12/20/2010,1/29/2011,2009-1
10471,M,Creole,BELMOPAN CITY,CAYO,NULL,1/19/2009,AINT,Information Technology,11,Associate Degree,Terminated,,,2008-2
10500,M,Mestizo,BELIZE CITY,BELIZE,ESCUELA MEXICO,8/18/2008,AINT,Information Technology,11,Associate Degree,Terminated,,,2008-1
10506,F,East Indian,BELIZE DISTRICT,BELIZE,ST. JOHN'S COLLEGE JUNIOR COLLEGE,8/13/2012,AINT,Information Technology,11,Associate Degree,Dropped,,,2011-3
10533,F,Creole,BELIZE CITY,BELIZE,ST. JOHN'S COLLEGE,8/18/2008,AINT,Information Technology,11,Associate Degree,Terminated,,,2008-1
10542,M,Mestizo,BELMOPAN CITY,CAYO,NULL,1/19/2009,AINT,Information Technology,11,Associate Degree,Terminated,,,2008-2
10565,M,Creole,CAMALOTE VILLAGE,CAYO,UNIVERSITY OF BELIZE,1/20/2013,AINT,Information Technology,11,Associate Degree,Terminated,,,2013-2
10568,M,Creole,BELMOPAN CITY,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,8/1/2018,AINT,Information Technology,11,Associate Degree,In Process,,,2018-1
10591,M,Creole,BELMOPAN CITY,CAYO,UNIVERSITY OF BELIZE,1/18/2010,AINT,Information Technology,11,Associate Degree,Terminated,,,2010-1
10601,M,Mestizo,BELMOPAN CITY,CAYO,UNIVERSITY OF BELIZE,8/19/2013,AINT,Information Technology,11,Associate Degree,Terminated,,,2013-1
10609,F,Creole,ROARING CREEK VILLAGE,CAYO,UNIVERSITY OF BELIZE,8/12/2013,AINT,Information Technology,11,Associate Degree,Terminated,,,2000-1
10614,M,Oriental,BELMOPAN CITY,CAYO,UNIVERSITY OF BELIZE,8/20/2008,AINT,Information Technology,11,Associate Degree,Graduated,1/29/2011,12/20/2010,2008-1
10627,M,Mestizo,SANTA ELENA,CAYO,ORANGE WALK TECHNICAL,8/18/2008,AINT,Information Technology,11,Associate Degree,Terminated,,,2008-2
10646,M,Other,BELIZE CITY,BELIZE,FOREIGN,8/20/2008,AINT,Information Technology,11,Associate Degree,Terminated,,,2008-1
10653,M,Mestizo,BENQUE VIEJO DEL CARMEN,CAYO,FOREIGN,8/18/2008,AINT,Information Technology,11,Associate Degree,Terminated,,,2008-1
10669,M,Creole,-,CAYO,MOPAN TECHNICAL HIGH SCHOOL,8/20/2008,AINT,Information Technology,11,Associate Degree,Dropped,,,2008-2
10677,M,East Indian,INDIANVILLE,TOLEDO,NULL,1/19/2009,AINT,Information Technology,11,Associate Degree,Terminated,,,2009-1
10697,F,Garifuna,ROARING CREEK VILLAGE,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,8/18/2008,AINT,Information Technology,11,Associate Degree,Terminated,,,2008-1
10715,M,Garifuna,DANGRIGA TOWN,STANN CREEK,DELILLE ACADEMY,8/18/2008,AINT,Information Technology,11,Associate Degree,Dropped,,,2008-1
10720,M,Creole,BELMOPAN CITY,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,8/18/2008,AINT,Information Technology,11,Associate Degree,Dropped,,,2010-1
10731,M,Mestizo,DANGRIGA TOWN,STANN CREEK,STANN CREEK ECUMENICAL HIGH SC,8/18/2008,AINT,Information Technology,11,Associate Degree,Terminated,,,2008-1
10734,M,Creole,,CAYO,NULL,1/19/2009,AINT,Information Technology,11,Associate Degree,Terminated,,,2008-2
10762,M,Creole,BELIZE CITY,BELIZE,GWEN LIZARRAGA,8/18/2008,AINT,Information Technology,11,Associate Degree,Terminated,,,2008-1
10773,F,Creole,BELIZE CITY,BELIZE,EDWARD P. YORKE,8/20/2008,AINT,Information Technology,11,Associate Degree,Transferred,,,2008-1
10785,M,Mestizo,-,ORANGE WALK,UNIVERSITY OF BELIZE,8/15/2016,AINT,Information Technology,11,Associate Degree,Terminated,,,2017-1
10788,M,Creole,BELIZE CITY,BELIZE,UNIVERSITY OF BELIZE,1/17/2011,AINT,Information Technology,11,Associate Degree,Terminated,,,2011-1
10793,F,Mestizo,BELMOPAN CITY,CAYO,ST. JOHN'S COLLEGE EXTENSION,8/17/2009,AINT,Information Technology,11,Associate Degree,Transferred,,,2009-1
10801,M,Mestizo,DANGRIGA TOWN,STANN CREEK,STANN CREEK ECUMENICAL HIGH SC,5/15/2009,AINT,Information Technology,11,Associate Degree,Dropped,,,2009-1
10807,M,Oriental,BELMOPAN CITY,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,8/17/2009,AINT,Information Technology,11,Associate Degree,Graduated,6/18/2011,5/24/2011,2009-1
10832,M,Mestizo,ORANGE WALK DISTRICT,BELIZE,NULL,8/4/2009,AINT,Information Technology,11,Associate Degree,Transferred,,,2009-1
10840,M,Mestizo,CAYO,BELIZE,MOPAN TECHNICAL HIGH SCHOOL,8/17/2009,AINT,Information Technology,11,Associate Degree,Terminated,,,2009-1
10859,M,Creole,BELIZE CITY,BELIZE,EDWARD P. YORKE,8/3/2012,AINT,Information Technology,11,Associate Degree,Terminated,,,2012-1
10863,F,Mestizo,BELMOPAN CITY,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,8/17/2009,AINT,Information Technology,11,Associate Degree,Transferred,,,2008-3
10870,M,Mestizo,BELIZE CITY,BELIZE,*WESLEY COLLEGE,8/17/2009,AINT,Information Technology,11,Associate Degree,Graduated,6/15/2013,5/22/2012,2010-2
10889,M,Mestizo,-,COROZAL,ESCUELA MEXICO,8/17/2009,AINT,Information Technology,11,Associate Degree,Dropped,,,2009-1
10901,M,Mestizo,SANTA ELENA TOWN,CAYO,SACRED HEART COLLEGE,8/17/2009,AINT,Information Technology,11,Associate Degree,Dropped,,,2009-1
10914,M,Creole,BELIZE CITY,BELIZE,CANAAN SDA HIGH SCHOOL,8/17/2009,AINT,Information Technology,11,Associate Degree,Terminated,,,2009-2
10925,F,Mestizo,SAN PEDRO TOWN,BELIZE,SAN PEDRO HIGH SCHOOL,8/17/2009,AINT,Information Technology,11,Associate Degree,Terminated,,,2009-1
10955,M,Creole,ORANGE WALK TOWN,ORANGE WALK,EDWARD P. YORKE,8/17/2009,AINT,Information Technology,11,Associate Degree,Terminated,,,2009-1
10958,F,Mestizo,BELMOPAN CITY,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,8/17/2009,AINT,Information Technology,11,Associate Degree,Dropped,,,2009-1
10971,M,Creole,PUNTA GORDA,TOLEDO,TOLEDO COMMUNITY COLLEGE,8/17/2009,AINT,Information Technology,11,Associate Degree,Transferred,,,2009-1
10977,M,Mestizo,BENQUE VIEJO DEL CARMEN,CAYO,SACRED HEART COLLEGE,8/17/2009,AINT,Information Technology,11,Associate Degree,Dropped,,,2009-1
10983,F,Creole,BELMOPAN CITY,CAYO,ST. CATHERINE ACADEMY,8/17/2009,AINT,Information Technology,11,Associate Degree,Dropped,,,2011-1
11004,F,Creole,BELMOPAN CITY,CAYO,OUR LADY OF GUADALUPE HIGH SCH,8/17/2009,AINT,Information Technology,11,Associate Degree,Graduated,6/18/2011,5/24/2011,2009-1
11029,F,Oriental,BELMOPAN CITY,CAYO,BELIZE CHRISTIAN ACADEMY,8/17/2009,AINT,Information Technology,11,Associate Degree,Graduated,6/18/2011,5/24/2011,2009-1
11054,M,East Indian,SANTA ELENA,CAYO,*UNKNOWN,8/17/2009,AINT,Information Technology,11,Associate Degree,Transferred,,,2009-1
11082,M,Mestizo,SAN NARCISO VILLAGE,COROZAL,ESCUELA MEXICO,8/17/2009,AINT,Information Technology,11,Associate Degree,Terminated,,,2009-1
11096,M,Mestizo,SAN ANTONIO VILLAGE,CAYO,SACRED HEART COLLEGE,8/17/2009,AINT,Information Technology,11,Associate Degree,Dropped,,,2009-1
11107,M,Mestizo,SAN LAZARO VILLAGE,ORANGE WALK,ORANGE WALK TECHNICAL,8/17/2009,AINT,Information Technology,11,Associate Degree,Graduated,1/28/2012,12/12/2011,2009-2
11132,F,Mestizo,ORANGE WALK TOWN,ORANGE WALK,ORANGE WALK TECHNICAL,8/17/2009,AINT,Information Technology,11,Associate Degree,Transferred,,,2009-1
11138,M,Oriental,BELMOPAN CITY,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,8/17/2009,AINT,Information Technology,11,Associate Degree,Graduated,1/28/2012,12/12/2011,2008-3
11164,M,Mestizo,BELMOPAN CITY,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,8/17/2009,AINT,Information Technology,11,Associate Degree,Transferred,,,2009-1
11169,M,Mestizo,INDEPENDENCE VILLAGE,STANN CREEK,INDEPENDENCE HIGH SCHOOL,8/17/2009,AINT,Information Technology,11,Associate Degree,Terminated,,,2008-3
11191,F,Creole,-,CAYO,WESTERN CHRISTIAN ACADEMY,8/17/2009,AINT,Information Technology,11,Associate Degree,Dropped,,,2010-1
11198,F,Mestizo,ORANGE WALK TOWN,ORANGE WALK,MUFFLES COLLEGE,8/17/2009,AINT,Information Technology,11,Associate Degree,Graduated,6/18/2011,5/24/2011,2009-1
11224,M,Oriental,BELMOPAN CITY,CAYO,*WESLEY COLLEGE,8/17/2009,AINT,Information Technology,11,Associate Degree,Graduated,6/18/2011,5/24/2011,2009-1
11250,M,Mestizo,BELIZE CITY,BELIZE,GWEN LIZARRAGA,8/17/2009,AINT,Information Technology,11,Associate Degree,Terminated,,,2009-1
11277,F,East Indian,SANDHILL VILLAGE,BELIZE,ST. JOHN'S COLLEGE JUNIOR COLLEGE,8/13/2012,AINT,Information Technology,11,Associate Degree,Graduated,2/6/2016,12/7/2015,2012-2
11301,M,East Indian,BELIZE CITY,BELIZE,ST. JOHN'S COLLEGE JUNIOR COLLEGE,8/1/2020,AINT,Information Technology,11,Associate Degree,In Process,,,2000-1
11319,M,Other,BELMOPAN CITY,CAYO,FOREIGN,8/15/2011,AINT,Information Technology,11,Associate Degree,Terminated,,,2011-3
11344,M,Creole,BURRELL BOOM VILLAGE,BELIZE,ADULT & CONTINUING EDUCATION,5/17/2010,AINT,Information Technology,11,Associate Degree,Dropped,,,2010-2
11353,M,Mestizo,BELMOPAN CITY,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,5/30/2011,AINT,Information Technology,11,Associate Degree,Terminated,,,2011-1
11356,M,Creole,BELIZE CITY,BELIZE,EDWARD P. YORKE,8/17/2009,AINT,Information Technology,11,Associate Degree,Dropped,,,2009-1
11371,M,East Indian,BELIZE CITY,BELIZE,EDWARD P. YORKE,8/17/2009,AINT,Information Technology,11,Associate Degree,Dropped,,,2009-1
11378,M,Garifuna,BELMOPAN CITY,CAYO,OUR LADY OF GUADALUPE HIGH SCH,8/17/2009,AINT,Information Technology,11,Associate Degree,Dropped,,,2009-1
11404,M,Creole,BELMOPAN,CAYO,ADULT & CONTINUING EDUCATION,8/17/2009,AINT,Information Technology,11,Associate Degree,Terminated,,,2009-2
11423,M,Oriental,BELMOPAN CITY,CAYO,STANN CREEK ECUMENICAL HIGH SC,8/17/2009,AINT,Information Technology,11,Associate Degree,Graduated,6/16/2012,5/22/2012,2009-1
11449,F,Mestizo,BELIZE CITY,BELIZE,NULL,8/17/2009,AINT,Information Technology,11,Associate Degree,Terminated,,,2009-2
11462,M,Creole,BELMOPAN,CAYO,NULL,8/7/2009,AINT,Information Technology,11,Associate Degree,Transferred,,,2009-1
11468,M,Creole,ROARING CREEK VILLAGE,CAYO,UNIVERSITY OF BELIZE,1/20/2014,AINT,Information Technology,11,Associate Degree,Dropped,,,2013-2
11471,M,Mayan,-,STANN CREEK,UNIVERSITY OF BELIZE,8/16/2010,AINT,Information Technology,11,Associate Degree,Terminated,,,2010-2
11506,M,Creole,PUNTA GORDA TOWN,TOLEDO,TOLEDO COMMUNITY COLLEGE,1/17/2010,AINT,Information Technology,11,Associate Degree,Dropped,,,2010-1
11517,M,Mayan,PUNTA GORDA,TOLEDO,TOLEDO COMMUNITY COLLEGE,1/19/2010,AINT,Information Technology,11,Associate Degree,Terminated,,,2009-2
11521,M,Mestizo,BELMOPAN CITY,CAYO,SACRED HEART COLLEGE,8/17/2015,AINT,Information Technology,11,Associate Degree,Graduated,6/15/2019,12/10/2018,2015-1
11551,M,Mayan,BELMOPAN CITY,CAYO,BELMOPAN BAPTIST ACE,12/8/2009,AINT,Information Technology,11,Associate Degree,Terminated,,,2010-1
11564,M,East Indian,,CAYO,SACRED HEART COLLEGE,12/8/2009,AINT,Information Technology,11,Associate Degree,Terminated,,,2010-1
11580,M,Garifuna,STANN CREEK,STANN CREEK,EDEN SDA HIGH,1/18/2010,AINT,Information Technology,11,Associate Degree,Graduated,10/24/2020,12/12/2019,2009-2
11618,M,Creole,BELMOPAN CITY,CAYO,OUR LADY OF GUADALUPE HIGH SCH,8/18/2014,AINT,Information Technology,11,Associate Degree,Graduated,6/16/2018,12/4/2017,2014-2
11654,M,Mayan,CAYO,BELIZE,BELMOPAN COMPREHENSIVE SCHOOL,8/16/2010,AINT,Information Technology,11,Associate Degree,Dropped,,,2011-1
11688,F,Mayan,BENQUE VIEJO TOWN,CAYO,TOLEDO COMMUNITY COLLEGE,8/17/2015,AINT,Information Technology,11,Associate Degree,Terminated,,,2015-1
11692,M,Creole,BELIZE CITY,BELIZE,ANGLICAN CATHEDRAL COLLEGE,5/13/2010,AINT,Information Technology,11,Associate Degree,Terminated,,,2012-1
11702,M,Unknown,BELIZE CITY,BELIZE,EDWARD P. YORKE,5/13/2010,AINT,Information Technology,11,Associate Degree,Dropped,,,2010-1
11725,M,Caucasian,BELMOPAN CITY,CAYO,BELIZE CHRISTIAN ACADEMY,8/16/2010,AINT,Information Technology,11,Associate Degree,Dropped,,,2010-1
11743,M,Unknown,BELMOPAN CITY,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,5/13/2010,AINT,Information Technology,11,Associate Degree,Terminated,,,2010-1
11750,M,Caucasian,BELMOPAN CITY,CAYO,COROZAL COMMUNITY COLLEGE,5/13/2010,AINT,Information Technology,11,Associate Degree,Terminated,,,2010-2
11753,M,Garifuna,DANGRIGA TOWN,STANN CREEK,STANN CREEK ECUMENICAL HIGH SC,5/14/2010,AINT,Information Technology,11,Associate Degree,Graduated,1/25/2014,12/10/2012,2010-1
11782,M,Ketchi,BELMOPAN,CAYO,OUR LADY OF GUADALUPE HIGH SCH,5/14/2010,AINT,Information Technology,11,Associate Degree,Terminated,,,2011-2
11822,M,Mestizo,STANN CREEK DISTRICT,STANN CREEK,INDEPENDENCE HIGH SCHOOL,8/16/2010,AINT,Information Technology,11,Associate Degree,Dropped,,,2010-1
11828,M,Mestizo,BELMOPAN CITY,CAYO,OUR LADY OF GUADALUPE HIGH SCH,8/16/2010,AINT,Information Technology,11,Associate Degree,Graduated,1/25/2014,7/19/2013,2010-1
11854,F,Garifuna,BELMOPAN,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,5/14/2010,AINT,Information Technology,11,Associate Degree,Terminated,,,2010-1
11886,F,Mestizo,VALLEY OF PEACE,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,8/16/2010,AINT,Information Technology,11,Associate Degree,Dropped,,,2010-1
11891,M,Mestizo,BENQUE VIEJO DEL CARMEN,CAYO,MOUNT CARMEL HIGH SCHOOL,5/14/2010,AINT,Information Technology,11,Associate Degree,Terminated,,,2010-2
11900,M,Mestizo,BELIZE CITY,BELIZE,ST. JOHN'S COLLEGE JUNIOR COLLEGE,5/14/2010,AINT,Information Technology,11,Associate Degree,Terminated,,,2000-1
11908,M,Mestizo,SANTA FAMILIA VILLAGE,CAYO,MOPAN TECHNICAL HIGH SCHOOL,5/14/2010,AINT,Information Technology,11,Associate Degree,Terminated,,,2010-1
11930,M,Mestizo,BENQUE VIEJO DEL CARMEN,CAYO,MOPAN TECHNICAL HIGH SCHOOL,1/17/2011,AINT,Information Technology,11,Associate Degree,Dropped,,,2010-2
11964,M,Mestizo,CAYO,BELIZE,SACRED HEART COLLEGE,8/16/2010,AINT,Information Technology,11,Associate Degree,Graduated,6/16/2012,5/22/2012,2010-1
11989,F,Mestizo,SANTA ELENA,CAYO,SACRED HEART COLLEGE,8/16/2010,AINT,Information Technology,11,Associate Degree,Dropped,,,2010-1
11995,M,Unknown,BURRELL BOOM VILLAGE,BELIZE,BELIZE RURAL HIGH SCHOOL,5/17/2010,AINT,Information Technology,11,Associate Degree,Terminated,,,2010-1
12009,F,Mestizo,BELIZE CITY,BELIZE,PALLOTTI HIGH SCHOOL,5/17/2010,AINT,Information Technology,11,Associate Degree,Terminated,,,2010-1
12021,M,Mestizo,BENQUE VIEJO DEL CARMEN,CAYO,MOPAN TECHNICAL HIGH SCHOOL,8/16/2010,AINT,Information Technology,11,Associate Degree,Terminated,,,2010-1
12041,M,Mayan,TOLEDO DISTICT,TOLEDO,TOLEDO COMMUNITY COLLEGE,5/17/2010,AINT,Information Technology,11,Associate Degree,Terminated,,,2010-1
12064,M,Creole,BELMOPAN CITY,CAYO,OUR LADY OF GUADALUPE HIGH SCH,5/17/2010,AINT,Information Technology,11,Associate Degree,Terminated,,,2010-1
12069,F,Mestizo,SANTA ELENA,CAYO,ST. IGNATIUS HIGH SCHOOL,8/16/2010,AINT,Information Technology,11,Associate Degree,Graduated,6/14/2014,5/19/2014,2010-1
12112,M,Mestizo,ORANGE WALK  DISTRICT,ORANGE WALK,SAN JUAN BAUTISTA HIGH SCHOOL,5/17/2010,AINT,Information Technology,11,Associate Degree,Terminated,,,2010-1
12118,F,Creole,BELIZE CITY,BELIZE,*WESLEY COLLEGE,8/16/2010,AINT,Information Technology,11,Associate Degree,Terminated,,,2012-1
12132,F,Mayan,BELMOPAN CITY,CAYO,BELMOPAN BAPTIST ACE,5/17/2010,AINT,Information Technology,11,Associate Degree,Dropped,,,2010-1
12173,M,Creole,BELMOPAN CITY,CAYO,OUR LADY OF GUADALUPE HIGH SCH,8/16/2010,AINT,Information Technology,11,Associate Degree,Graduated,6/15/2013,12/10/2012,2010-1
12198,M,Mestizo,ORANGE WALK TOWN,ORANGE WALK,ORANGE WALK TECHNICAL,8/16/2010,AINT,Information Technology,11,Associate Degree,Dropped,,,2010-1
12207,M,Mestizo,BELMOPAN CITY,CAYO,BELMOPAN BAPTIST HIGH SCHOOL,5/17/2010,AINT,Information Technology,11,Associate Degree,Terminated,,,2011-1
12227,M,Mestizo,ORANGE WALK  DISTRICT,ORANGE WALK,ORANGE WALK TECHNICAL,5/17/2010,AINT,Information Technology,11,Associate Degree,Terminated,,,2010-1
12262,M,Unknown,DANGRIGA TOWN,STANN CREEK,STANN CREEK ECUMENICAL JR. COLLEGE,5/17/2010,AINT,Information Technology,11,Associate Degree,Terminated,,,2000-1
12276,M,Mestizo,BELMOPAN CITY,CAYO,SACRED HEART JUNIOR COLLEGE,8/16/2010,AINT,Information Technology,11,Associate Degree,Dropped,,,2010-1
12281,M,Creole,BELMOPAN CITY,CAYO,UNIVERSITY OF BELIZE,8/15/2011,AINT,Information Technology,11,Associate Degree,Terminated,,,2011-1
12297,M,Mestizo,TOLEDO DISTRICT,BELIZE,INDEPENDENCE HIGH SCHOOL,6/4/2010,AINT,Information Technology,11,Associate Degree,Terminated,,,2010-2
12322,M,Mestizo,BELIZE CITY,BELIZE,ST. JOHN'S COLLEGE JUNIOR COLLEGE,8/16/2010,AINT,Information Technology,11,Associate Degree,Dropped,,,2010-1
12333,M,Mestizo,BELMOPAN CITY,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,6/4/2010,AINT,Information Technology,11,Associate Degree,Terminated,,,2010-1
12350,M,Mestizo,BELMOPAN CITY,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,6/4/2010,AINT,Information Technology,11,Associate Degree,Terminated,,,2010-1
12354,M,Other,SAN IGNACIO,CAYO,SACRED HEART COLLEGE,6/4/2010,AINT,Information Technology,11,Associate Degree,Terminated,,,2010-1
12358,M,Creole,-,BELIZE,ST. JOHN'S COLLEGE JUNIOR COLLEGE,8/18/2014,AINT,Information Technology,11,Associate Degree,Terminated,,,2014-1
12370,M,Creole,BELMOPAN CITY,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,8/1/2020,AINT,Information Technology,11,Associate Degree,Terminated,,,2020-1
12375,M,Creole,-,CAYO,FOREIGN,8/14/2017,AINT,Information Technology,11,Associate Degree,Terminated,,,2017-1
12398,F,Mayan,-,ORANGE WALK,ADULT & CONTINUING EDUCATION,1/20/2014,AINT,Information Technology,11,Associate Degree,Dropped,,,2014-1
12404,M,Creole,CAMALOTE VILLAGE,CAYO,ADULT & CONTINUING EDUCATION,6/28/2011,AINT,Information Technology,11,Associate Degree,Terminated,,,2011-1
12412,M,Mestizo,ROARING CREEK VILLAGE,CAYO,OUR LADY OF GUADALUPE HIGH SCH,5/27/2011,AINT,Information Technology,11,Associate Degree,Terminated,,,2011-1
12422,F,Garifuna,BELMOPAN CITY,CAYO,UNIVERSITY OF BELIZE,1/16/2012,AINT,Information Technology,11,Associate Degree,Graduated,6/16/2012,5/22/2012,2011-2
12429,F,Mestizo,BENQUE VIEJO DEL CARMEN,CAYO,UNIVERSITY OF BELIZE,8/15/2011,AINT,Information Technology,11,Associate Degree,Terminated,,,2011-1
12432,F,Mestizo,BENQUE VIEJO DEL CARMEN,CAYO,SACRED HEART COLLEGE,8/15/2011,AINT,Information Technology,11,Associate Degree,Graduated,6/15/2013,5/13/2013,2012-1
12455,M,Creole,CAYO,BELIZE,SACRED HEART JUNIOR COLLEGE,7/13/2010,AINT,Information Technology,11,Associate Degree,Terminated,,,2010-1
12461,M,Creole,,BELIZE,ANGLICAN CATHEDRAL COLLEGE,7/15/2010,AINT,Information Technology,11,Associate Degree,Terminated,,,2010-1
12466,M,Garifuna,COROZAL TOWN,BELIZE,COROZAL COMMUNITY COLLEGE,8/16/2010,AINT,Information Technology,11,Associate Degree,Graduated,1/28/2012,12/12/2011,2010-1
12478,M,Mestizo,BELMOPAN CITY,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,3/25/2011,AINT,Information Technology,11,Associate Degree,Dropped,,,2011-1
12487,M,Mestizo,TOLEDO,BELIZE,TOLEDO COMMUNITY COLLEGE,3/25/2011,AINT,Information Technology,11,Associate Degree,Terminated,,,2011-1
12503,M,Mayan,COROZAL,BELIZE,JULIAN CHO TECHNICAL HIGH,3/25/2011,AINT,Information Technology,11,Associate Degree,Terminated,,,2000-1
12519,M,Creole,BELMOPAN CITY,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,3/25/2011,AINT,Information Technology,11,Associate Degree,Terminated,,,2011-1
12520,M,Mestizo,-,CAYO,SACRED HEART COLLEGE,3/25/2011,AINT,Information Technology,11,Associate Degree,Dropped,,,2000-1
12554,M,Garifuna,STANN CREEK,BELIZE,STANN CREEK ECUMENICAL JR. COLLEGE,3/25/2011,AINT,Information Technology,11,Associate Degree,Terminated,,,2000-1
12575,M,Creole,BELMOPAN,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,3/25/2011,AINT,Information Technology,11,Associate Degree,Terminated,,,2013-2
12585,F,Mayan,-,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,8/15/2011,AINT,Information Technology,11,Associate Degree,Dropped,,,2011-1
12591,M,Mestizo,BELMOPAN CITY,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,3/25/2011,AINT,Information Technology,11,Associate Degree,Terminated,,,2011-1
